trip_id,arrival_time,departure_time,stop_id,stop_sequence
T_UP_001,07:30:00,07:30:20,S01,1
T_UP_001,07:32:20,07:32:40,S02,2
T_UP_001,07:34:40,07:35:00,S03,3
T_UP_001,07:37:00,07:37:20,S04,4
T_UP_001,07:39:20,07:39:40,S05,5
T_UP_001,07:41:40,07:42:00,S06,6
T_UP_001,07:44:00,07:44:20,S07,7
T_UP_001,07:46:20,07:46:40,S08,8
T_UP_001,07:48:40,07:49:00,S09,9
T_UP_001,07:51:00,07:51:20,S10,10
T_UP_001,07:53:20,07:53:40,S11,11
T_UP_001,07:55:40,07:56:00,S12,12
T_UP_001,07:58:00,07:58:20,S13,13
T_UP_001,08:00:20,08:00:40,S14,14
T_UP_001,08:02:40,08:03:00,S15,15
T_UP_001,08:05:00,08:05:20,S16,16
T_DN_001,07:31:00,07:31:20,S01,1
T_DN_001,07:33:20,07:33:40,S02,2
T_DN_001,07:35:40,07:36:00,S03,3
T_DN_001,07:38:00,07:38:20,S04,4
T_DN_001,07:40:20,07:40:40,S05,5
T_DN_001,07:42:40,07:43:00,S06,6
T_DN_001,07:45:00,07:45:20,S07,7
T_DN_001,07:47:20,07:47:40,S08,8
T_DN_001,07:49:40,07:50:00,S09,9
T_DN_001,07:52:00,07:52:20,S10,10
T_DN_001,07:54:20,07:54:40,S11,11
T_DN_001,07:56:40,07:57:00,S12,12
T_DN_001,07:59:00,07:59:20,S13,13
T_DN_001,08:01:20,08:01:40,S14,14
T_DN_001,08:03:40,08:04:00,S15,15
T_DN_001,08:06:00,08:06:20,S16,16
